GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
24/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
25/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.00000001
26/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.00000001;0.00000001
27/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
28/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
29/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
30/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
31/08/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.86206894;0.2081817;0.25260963;0.303119
01/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.21031432;0.77586205;0.2081817;0.27814109;0.00000001
02/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.00000001;0.00000001
03/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
04/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
05/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03048646;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03747275;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04499677;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
06/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03048646;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03747275;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04499677;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
07/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03048646;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03747275;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04499677;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
08/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03048646;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.00000001
